"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"68",6011219,99,1,2,3,26,32,27,19,25,25,0,0,31,53,19,4,25,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"69",6021102,8,2,3,3,65,64,56,56,40,38,10,10,46,55,17,8,50,0,3,9,NA,3,2,75,75,75,74,66,74,35,30,25,25,1,1,56,0,3,3,0
"70",6021104,8,2,1,1,42,42,31,30,48,46,15,15,43,49,13,7,44,0,3,9,2,1,1,42,41,36,36,45,44,18,18,40,47,15,8,41,0,3,3,0
"71",6021105,8,2,1,1,47,47,36,35,48,46,15,15,43,52,15,7,45,0,3,NA,2,1,1,53,52,49,49,55,55,25,24,42,49,16,9,50,0,3,3,0
"72",6021107,8,2,1,2,56,56,46,46,62,61,24,24,46,57,18,8,55,0,3,9,2,1,2,60,60,58,58,64,62,29,29,46,59,22,11,57,0,3,3,0
"73",6021108,8,2,2,2,37,35,24,24,40,38,10,10,36,35,6,4,36,0,3,8,2,2,2,40,41,36,34,39,42,17,14,34,38,10,5,36,0,3,3,1
"74",6021109,9,2,3,NA,43,43,32,31,51,51,18,17,41,46,11,6,44,0,3,9,2,3,3,51,50,47,47,38,36,13,13,38,45,14,7,41,0,3,3,0
"75",6021110,9,2,3,3,74,75,74,68,25,25,0,0,25,25,0,0,40,0,3,9,2,3,3,41,43,38,35,41,39,15,15,34,36,9,5,37,0,3,3,1
"76",6021111,8,1,3,2,69,68,61,61,25,25,0,0,36,40,8,4,42,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77",6021112,8,1,3,2,44,44,33,32,40,38,10,10,39,40,8,5,40,0,3,9,1,3,2,44,43,39,39,48,47,20,20,40,45,14,8,43,0,3,3,1
